Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Ambient_VOC_Rolling,Ambient_VOC_Change,AQMS2_VOC_Rolling,AQMS2_VOC_Change,Average_pH
95,2026-04-05,9.5,7.31,8.81,10.75,8.25,12.8,9.51,13.2,9.69,8.27,7.21,11.23,12.94,11.44,10.63,9.3,9.72,9.8,10.85,,0.0,0.25,2026,4,5,2026-04-05,0.0,0.0,0.2742857142857143,-0.020000000000000018,10.063684210526315
96,2026-04-06,9.5,7.31,8.81,10.78,8.21,11.78,9.51,13.2,9.69,8.25,7.21,11.16,12.94,11.45,10.62,9.23,9.72,9.8,10.84,,0.0,0.34,2026,4,6,2026-04-06,0.0,0.0,0.2885714285714286,0.09000000000000002,10.000526315789473
97,2026-04-07,9.5,7.31,8.81,10.56,8.14,11.15,9.51,13.2,9.73,8.24,7.21,11.1,12.95,11.46,10.68,10.0,9.61,9.8,10.84,,0.0,0.34,2026,4,7,2026-04-07,0.0,0.0,0.29714285714285715,0.0,9.989473684210529
98,2026-04-08,9.5,7.32,8.81,10.55,8.1,10.01,9.51,13.2,9.69,8.25,7.21,11.06,12.96,11.48,10.6,10.64,9.58,9.8,10.85,,0.0,0.27,2026,4,8,2026-04-08,0.0,0.0,0.29285714285714287,-0.07,9.953684210526315
99,2026-04-09,9.5,7.33,8.82,10.7,8.09,10.61,9.51,13.2,9.69,8.24,7.21,11.0,12.92,11.46,10.65,10.47,9.73,9.8,10.84,,0.0,0.28,2026,4,9,2026-04-09,0.0,0.0,0.2871428571428572,0.010000000000000009,9.987894736842106
100,2026-04-10,9.5,7.33,8.81,10.5,8.07,10.48,9.51,13.17,9.69,8.22,7.21,10.97,12.89,11.45,10.59,10.16,9.73,9.8,10.59,,0.0,0.33,2026,4,10,2026-04-10,0.0,0.0,0.29714285714285715,0.04999999999999999,9.93
101,2026-04-11,9.5,7.34,8.81,10.43,8.04,10.66,9.51,13.1,9.69,8.23,7.21,10.91,12.88,11.45,10.87,10.15,9.72,9.8,10.84,,0.0,0.34,2026,4,11,2026-04-11,0.0,0.0,0.3071428571428572,0.010000000000000009,9.954736842105264
102,2026-04-12,9.5,7.35,8.81,10.66,8.04,10.83,9.51,13.1,9.69,8.23,7.21,10.91,12.88,11.46,10.8,10.14,9.71,9.8,10.85,,0.0,0.2,2026,4,12,2026-04-12,0.0,0.0,0.3,-0.14,9.97263157894737
103,2026-04-13,9.5,7.35,8.82,10.83,7.96,11.11,9.51,13.1,9.69,8.22,7.21,10.74,12.87,11.45,10.56,10.12,9.73,9.8,10.84,,0.0,0.23,2026,4,13,2026-04-13,0.0,0.0,0.2842857142857143,0.03,9.968947368421054
104,2026-04-14,9.5,7.35,8.82,10.72,7.97,11.01,9.51,13.2,9.69,8.14,7.21,10.51,12.88,11.46,10.55,10.11,9.73,9.8,10.85,,0.0,0.26,2026,4,14,2026-04-14,0.0,0.0,0.27285714285714285,0.03,9.947894736842105
105,2026-04-15,9.5,7.35,8.82,10.74,7.96,10.88,9.51,13.2,9.69,8.22,7.21,10.42,12.89,11.46,10.54,10.13,9.72,9.8,10.85,,0.0,0.26,2026,4,15,2026-04-15,0.0,0.0,0.2714285714285714,0.0,9.94157894736842
106,2026-04-16,9.5,7.35,8.82,10.57,8.05,10.96,9.51,13.2,9.69,8.22,7.21,10.38,12.87,11.47,10.61,10.12,9.72,9.8,10.85,,0.0,0.22,2026,4,16,2026-04-16,0.0,0.0,0.26285714285714284,-0.04000000000000001,9.942105263157895
107,2026-04-17,9.5,7.35,8.82,10.21,8.09,10.93,9.51,13.2,9.69,8.22,7.21,10.36,12.83,11.47,10.92,10.13,9.71,9.8,10.85,,0.0,0.25,2026,4,17,2026-04-17,0.0,0.0,0.25142857142857145,0.03,9.936842105263159
108,2026-04-18,9.5,7.35,8.82,10.77,8.09,10.82,9.51,13.14,9.69,8.21,7.21,10.35,12.79,11.47,10.87,10.16,9.71,9.8,10.85,,0.0,0.22,2026,4,18,2026-04-18,0.0,0.0,0.2342857142857143,-0.03,9.953157894736842
109,2026-04-19,9.5,7.35,8.82,10.71,8.11,11.02,9.51,13.18,9.69,8.21,7.21,10.36,12.75,11.48,10.86,10.16,9.7,9.8,10.85,,0.0,0.28,2026,4,19,2026-04-19,0.0,0.0,0.24571428571428572,0.060000000000000026,9.96157894736842
110,2026-04-20,9.5,7.35,8.81,10.77,8.08,11.23,9.51,13.2,9.69,8.21,7.21,10.35,12.7,11.49,10.84,10.16,9.69,9.8,10.85,,0.0,0.27,2026,4,20,2026-04-20,0.0,0.0,0.25142857142857145,-0.010000000000000009,9.970526315789476
111,2026-04-21,9.5,7.35,8.82,10.63,8.08,11.12,9.51,13.2,9.69,8.19,7.21,10.35,12.65,11.49,10.82,9.97,9.69,9.8,10.85,,0.0,0.29,2026,4,21,2026-04-21,0.0,0.0,0.2557142857142857,0.019999999999999962,9.943157894736842
112,2026-04-22,9.5,7.36,8.82,10.57,7.93,11.02,9.51,13.2,9.69,8.21,7.21,10.33,12.56,11.49,10.81,10.06,9.68,9.8,10.83,,0.0,0.34,2026,4,22,2026-04-22,0.0,0.0,0.2671428571428572,0.050000000000000044,9.925263157894738
113,2026-04-23,9.5,7.36,8.81,10.5,7.81,10.99,9.51,13.2,9.69,8.19,7.21,10.31,12.46,11.5,10.8,10.03,9.69,9.8,10.85,,0.0,0.38,2026,4,23,2026-04-23,0.0,0.0,0.29,0.03999999999999998,9.90578947368421
114,2026-04-24,9.5,7.36,8.81,10.56,7.05,10.94,9.51,13.25,9.69,8.21,7.21,10.27,12.28,11.5,10.79,9.95,9.68,9.8,10.74,,0.0,0.41,2026,4,24,2026-04-24,0.0,0.0,0.31285714285714283,0.02999999999999997,9.847368421052632
115,2026-04-25,9.5,7.36,8.81,10.58,7.83,10.91,9.51,13.3,9.69,8.21,7.21,10.23,12.04,11.51,10.8,9.89,9.66,9.8,10.84,,0.0,0.6,2026,4,25,2026-04-25,0.0,0.0,0.3671428571428571,0.19,9.877894736842105
116,2026-04-26,9.5,7.38,8.81,10.37,7.83,10.9,9.51,13.2,9.69,8.21,7.2,10.22,11.71,11.52,10.8,9.89,9.63,9.8,10.87,,0.0,0.0,2026,4,26,2026-04-26,0.0,0.0,0.3271428571428571,-0.6,9.844210526315791
117,2026-04-27,9.5,7.38,8.82,10.65,7.93,11.26,9.51,13.2,9.69,8.21,7.22,10.27,11.47,11.52,10.78,10.11,9.7,9.8,10.86,,0.0,0.51,2026,4,27,2026-04-27,0.0,0.0,0.3614285714285715,0.51,9.888421052631578
118,2026-04-28,9.5,7.39,8.81,10.7,8.05,11.4,9.51,12.89,9.69,8.21,7.21,10.2,11.23,11.51,10.77,10.13,9.67,9.8,10.85,,0.0,0.34,2026,4,28,2026-04-28,0.0,0.0,0.3685714285714286,-0.16999999999999998,9.869473684210528
119,2026-04-29,9.5,7.39,8.81,10.75,8.26,11.36,9.51,12.78,9.69,8.21,7.21,10.18,11.17,11.51,10.79,10.03,9.65,9.8,10.85,,0.0,0.41,2026,4,29,2026-04-29,0.0,0.0,0.37857142857142856,0.06999999999999995,9.865789473684211
120,2026-04-30,9.5,7.4,8.81,10.74,8.35,11.37,9.51,12.16,9.69,8.21,7.21,10.17,11.11,11.51,10.77,9.99,9.68,9.8,10.85,,0.0,0.3,2026,4,30,2026-04-30,0.0,0.0,0.3671428571428571,-0.10999999999999999,9.833157894736843
121,2026-05-01,9.5,7.4,8.81,10.84,8.28,11.29,9.51,11.43,9.69,8.21,7.21,10.16,11.06,11.52,10.77,10.07,9.68,9.8,10.85,,0.0,0.35,2026,5,1,2026-05-01,0.0,0.0,0.3585714285714286,0.04999999999999999,9.793684210526317
122,2026-05-02,9.5,7.4,8.81,10.68,8.1,11.11,9.51,12.45,9.69,8.21,7.21,10.17,11.05,11.54,10.79,10.08,9.65,9.8,10.85,,0.0,0.36,2026,5,2,2026-05-02,0.0,0.0,0.3242857142857143,0.010000000000000009,9.821052631578949
123,2026-05-03,9.5,7.4,8.81,10.73,8.3,11.09,9.51,12.49,9.69,8.22,7.21,10.16,11.01,11.53,10.8,9.87,9.66,9.8,10.84,,0.0,0.27,2026,5,3,2026-05-03,0.0,0.0,0.3628571428571429,-0.08999999999999997,9.822105263157894
124,2026-05-04,9.5,7.41,8.82,10.69,8.24,11.15,9.51,11.38,9.69,8.17,7.21,10.15,11.0,11.53,10.78,10.14,9.67,9.8,10.84,,0.0,0.35,2026,5,4,2026-05-04,0.0,0.0,0.33999999999999997,0.07999999999999996,9.772631578947369
125,2026-05-05,9.5,7.41,8.82,10.64,8.03,11.21,9.51,7.43,9.69,8.22,7.21,10.12,10.98,11.55,10.77,10.14,9.67,9.8,10.84,,0.0,0.31,2026,5,5,2026-05-05,0.0,0.0,0.33571428571428574,-0.03999999999999998,9.554736842105264
126,2026-05-06,9.5,7.41,8.81,10.57,8.04,11.28,9.51,6.75,9.69,8.22,7.21,10.1,10.96,11.59,10.76,10.13,9.69,9.8,10.84,,0.0,0.4,2026,5,6,2026-05-06,0.0,0.0,0.33428571428571424,0.09000000000000002,9.518947368421053
127,2026-05-07,9.5,7.41,8.81,10.61,7.88,11.43,9.51,10.45,9.69,8.23,7.21,10.11,10.95,11.63,10.76,10.14,9.68,9.8,10.83,,0.0,0.47,2026,5,7,2026-05-07,0.0,0.0,0.35857142857142854,0.06999999999999995,9.717368421052633
128,2026-05-08,9.5,7.41,8.81,10.63,7.62,11.7,9.51,10.38,9.69,8.23,7.21,10.14,10.93,11.65,10.75,10.09,9.68,9.8,10.84,,0.0,0.33,2026,5,8,2026-05-08,0.0,0.0,0.3557142857142857,-0.13999999999999996,9.71421052631579
129,2026-05-09,9.5,7.41,8.83,10.66,7.58,11.34,9.51,12.97,9.69,8.24,7.21,10.13,10.93,11.65,10.75,9.79,9.68,9.8,10.82,,0.0,0.37,2026,5,9,2026-05-09,0.0,0.0,0.35714285714285715,0.03999999999999998,9.815263157894737
130,2026-05-10,9.5,7.42,8.83,10.63,8.09,10.89,9.51,12.78,9.69,8.24,7.21,10.13,10.93,11.66,10.75,10.13,9.69,9.8,10.8,,0.0,0.39,2026,5,10,2026-05-10,0.0,0.0,0.3742857142857143,0.020000000000000018,9.825263157894737
131,2026-05-11,9.5,7.42,8.83,10.64,8.19,10.71,9.51,12.68,9.69,8.23,7.21,10.13,10.93,11.68,10.75,10.13,9.69,9.8,10.73,,0.0,0.41,2026,5,11,2026-05-11,0.0,0.0,0.38285714285714284,0.019999999999999962,9.813157894736843
132,2026-05-12,9.5,7.42,8.83,10.66,8.0,10.85,9.51,10.14,9.69,8.25,7.21,10.11,10.93,11.67,10.75,10.13,9.68,9.8,10.79,,0.0,0.45,2026,5,12,2026-05-12,0.0,0.0,0.40285714285714286,0.040000000000000036,9.680000000000001
133,2026-05-13,9.5,7.42,8.83,10.67,7.82,11.0,9.51,7.62,9.69,8.25,7.21,10.09,10.92,11.67,10.75,10.13,9.68,9.8,10.78,,0.0,0.24,2026,5,13,2026-05-13,0.0,0.0,0.38,-0.21000000000000002,9.544210526315789
134,2026-05-14,9.5,7.43,8.82,10.73,7.94,11.0,9.51,12.44,9.69,8.25,7.21,10.1,10.92,11.67,10.75,10.11,9.68,9.8,10.76,,0.0,0.32,2026,5,14,2026-05-14,0.0,0.0,0.3585714285714286,0.08000000000000002,9.80578947368421
135,2026-05-15,9.5,7.42,8.81,10.71,7.82,11.09,9.51,12.14,9.69,8.26,7.21,10.09,10.92,11.67,10.74,9.83,9.68,9.8,10.76,,0.0,0.2,2026,5,15,2026-05-15,0.0,0.0,0.34,-0.12,9.771052631578948
136,2026-05-16,9.5,7.42,8.81,10.5,7.86,11.08,9.51,11.7,9.69,8.26,7.21,10.07,10.9,11.67,10.74,9.7,9.68,9.8,10.76,,0.0,0.29,2026,5,16,2026-05-16,0.0,0.0,0.32857142857142857,0.08999999999999997,9.729473684210527
137,2026-05-17,9.5,7.43,8.81,10.11,7.81,11.2,9.51,12.95,9.69,8.26,7.21,10.07,10.89,11.67,10.74,9.53,9.68,9.8,11.55,,0.0,0.28,2026,5,17,2026-05-17,0.0,0.0,0.31285714285714283,-0.009999999999999953,9.81105263157895
138,2026-05-18,9.5,7.43,8.81,9.96,7.68,10.74,9.51,12.59,9.69,8.27,7.21,10.08,10.83,11.66,10.73,9.69,9.69,9.8,12.79,,0.0,0.29,2026,5,18,2026-05-18,0.0,0.0,0.2957142857142857,0.009999999999999953,9.82421052631579
139,2026-05-19,9.5,7.43,8.81,11.71,7.86,10.11,9.51,11.79,9.69,8.27,7.21,10.05,10.9,11.66,10.73,9.49,9.68,9.8,12.59,,0.0,0.27,2026,5,19,2026-05-19,0.0,0.0,0.27,-0.019999999999999962,9.83105263157895
140,2026-05-20,9.5,7.43,8.81,12.6,8.04,10.15,9.51,11.7,9.69,8.27,7.21,10.0,10.9,11.66,10.73,9.66,9.68,9.8,12.45,,0.0,0.31,2026,5,20,2026-05-20,0.0,0.0,0.27999999999999997,0.03999999999999998,9.883684210526317
141,2026-05-21,9.5,7.43,8.81,11.77,7.86,11.3,9.51,11.7,9.69,8.27,7.48,9.8,10.82,11.66,10.75,9.41,9.68,9.8,12.34,,0.0,0.34,2026,5,21,2026-05-21,0.0,0.0,0.28285714285714286,0.030000000000000027,9.872631578947368
142,2026-05-22,9.5,7.44,8.81,11.35,7.66,11.59,9.51,11.7,9.69,8.27,7.21,9.38,10.89,11.66,10.9,9.07,9.63,9.8,12.18,,0.0,0.25,2026,5,22,2026-05-22,0.0,0.0,0.29000000000000004,-0.09000000000000002,9.802105263157895
143,2026-05-23,9.5,7.44,8.81,11.13,7.63,10.41,9.51,11.7,9.69,8.28,7.21,9.53,10.9,11.68,10.99,9.68,9.43,9.8,12.16,,0.0,0.19,2026,5,23,2026-05-23,0.0,0.0,0.27571428571428575,-0.06,9.762105263157896
144,2026-05-24,9.5,7.44,8.81,11.0,7.54,8.09,9.51,11.68,9.69,8.28,7.21,9.45,10.89,11.68,10.88,10.13,9.43,9.8,12.08,,0.0,0.35,2026,5,24,2026-05-24,0.0,0.0,0.2857142857142857,0.15999999999999998,9.636315789473686
145,2026-05-25,9.5,7.44,8.81,10.94,7.37,9.06,9.51,11.64,9.69,8.28,7.21,9.37,11.0,11.68,10.85,10.13,9.47,9.8,12.04,,0.0,0.36,2026,5,25,2026-05-25,0.0,0.0,0.2957142857142857,0.010000000000000009,9.673157894736843
146,2026-05-26,9.5,7.44,8.82,10.86,7.21,8.49,9.51,11.62,9.69,8.28,7.21,9.27,11.1,11.67,10.87,10.12,9.53,9.8,11.99,9.65,0.0,0.3,2026,5,26,2026-05-26,0.0,0.0,0.3,-0.06,9.6315
147,2026-05-27,9.5,7.45,8.82,10.84,7.25,7.33,9.51,11.64,9.69,8.28,7.21,9.68,11.09,11.68,10.76,9.69,9.37,9.8,11.98,9.65,0.0,0.41,2026,5,27,2026-05-27,0.0,0.0,0.3142857142857142,0.10999999999999999,9.561
148,2026-05-28,9.5,7.45,8.81,10.83,7.57,8.53,9.51,11.67,9.69,8.29,7.21,9.44,11.04,11.68,10.79,9.09,9.25,9.8,11.9,8.8,0.0,2.01,2026,5,28,2026-05-28,0.0,0.0,0.5528571428571428,1.5999999999999999,9.5425
149,2026-05-29,9.5,7.45,8.81,10.82,7.51,11.0,9.51,11.61,9.69,8.28,7.21,9.24,11.01,11.68,10.72,9.6,9.4,9.8,11.83,3.06,0.0,0.31,2026,5,29,2026-05-29,0.0,0.0,0.5614285714285714,-1.6999999999999997,9.386500000000002
150,2026-05-30,9.5,7.46,8.82,10.84,7.53,11.35,9.51,11.07,9.69,8.27,7.21,8.61,11.01,11.67,10.71,9.72,9.54,9.8,11.7,1.36,0.0,0.3,2026,5,30,2026-05-30,0.0,0.0,0.5771428571428572,-0.010000000000000009,9.2685
151,2026-05-31,9.5,7.46,8.82,10.85,7.44,10.8,9.51,10.17,9.69,8.28,7.21,8.27,12.03,11.67,10.71,9.22,9.57,9.8,11.7,4.57,0.0,0.29,2026,5,31,2026-05-31,0.0,0.0,0.5685714285714285,-0.010000000000000009,9.363499999999998
152,2026-06-01,9.5,7.46,8.81,10.89,7.4,10.51,9.51,10.54,9.69,8.28,7.21,8.33,13.02,11.67,10.71,9.05,9.48,9.8,11.58,8.11,0.0,0.29,2026,6,1,2026-06-01,0.0,0.0,0.5585714285714285,0.0,9.5775
153,2026-06-02,9.5,7.47,8.81,10.89,7.45,10.87,9.51,10.68,9.69,8.27,7.21,8.23,13.14,11.68,10.73,9.54,9.46,9.8,11.66,7.15,0.0,0.3,2026,6,2,2026-06-02,0.0,0.0,0.5585714285714285,0.010000000000000009,9.587
154,2026-06-03,9.5,7.47,8.81,10.9,7.34,10.73,9.51,10.55,9.69,8.25,7.21,8.19,12.94,11.68,10.72,10.11,9.54,9.8,11.66,9.74,0.0,0.27,2026,6,3,2026-06-03,0.0,0.0,0.5385714285714285,-0.02999999999999997,9.717
155,2026-06-04,9.5,7.47,8.81,10.91,7.36,10.56,9.51,10.3,9.69,8.26,7.21,7.69,12.79,11.68,10.71,10.13,9.54,9.8,11.63,9.66,0.0,0.24,2026,6,4,2026-06-04,0.0,0.0,0.2857142857142857,-0.030000000000000027,9.660499999999999
156,2026-06-05,9.5,7.47,8.81,10.96,7.47,10.38,9.51,10.35,9.69,8.26,7.21,7.77,12.49,11.67,10.69,10.13,9.66,9.8,11.61,9.61,0.0,0.24,2026,6,5,2026-06-05,0.0,0.0,0.2757142857142857,0.0,9.652000000000001
157,2026-06-06,9.5,7.47,8.81,11.0,7.24,10.31,9.51,10.48,9.69,8.26,7.21,7.83,12.08,11.67,10.69,10.13,9.65,9.8,12.13,9.64,0.0,0.24,2026,6,6,2026-06-06,0.0,0.0,0.2671428571428571,0.0,9.655000000000001
158,2026-06-07,9.5,7.47,8.81,11.03,7.22,10.34,9.51,10.68,9.69,8.26,7.21,8.12,12.27,11.67,10.69,10.12,9.66,9.8,12.49,9.62,0.0,0.24,2026,6,7,2026-06-07,0.0,0.0,0.26,0.0,9.708000000000002
159,2026-06-08,9.5,7.47,8.81,11.09,7.48,10.39,9.51,10.37,9.69,8.25,7.21,8.1,13.02,11.66,10.67,9.32,9.63,9.8,12.49,9.63,0.0,0.22,2026,6,8,2026-06-08,0.0,0.0,0.25,-0.01999999999999999,9.7045
160,2026-06-09,9.5,7.48,8.81,11.12,7.59,10.46,9.51,11.9,9.69,8.25,7.21,8.12,12.94,11.66,10.68,9.67,9.67,9.8,12.43,9.64,0.0,0.32,2026,6,9,2026-06-09,0.0,0.0,0.25285714285714284,0.1,9.8065
161,2026-06-10,9.5,7.48,8.81,11.13,7.95,10.64,9.51,13.89,9.69,8.23,7.21,7.77,12.91,11.66,10.69,9.51,9.57,9.8,12.23,9.64,0.0,0.31,2026,6,10,2026-06-10,0.0,0.0,0.25857142857142856,-0.010000000000000009,9.891
162,2026-06-11,9.5,7.48,8.81,11.15,8.0,10.71,9.51,13.89,9.69,8.27,7.21,7.86,12.95,11.67,10.69,9.58,9.55,9.8,12.06,9.65,0.0,0.32,2026,6,11,2026-06-11,0.0,0.0,0.26999999999999996,0.010000000000000009,9.901500000000002
163,2026-06-12,9.5,7.48,8.81,11.19,7.75,10.94,9.51,13.76,9.69,8.28,7.21,8.02,12.87,11.66,10.69,9.44,9.42,9.8,12.04,9.63,0.0,0.36,2026,6,12,2026-06-12,0.0,0.0,0.2871428571428571,0.03999999999999998,9.8845
164,2026-06-13,9.5,7.48,8.81,11.24,7.54,11.14,9.51,13.72,9.69,8.29,7.21,7.81,11.48,11.66,10.69,9.34,9.5,9.8,11.94,9.64,0.0,0.29,2026,6,13,2026-06-13,0.0,0.0,0.2942857142857143,-0.07,9.7995
165,2026-06-14,9.5,7.48,8.81,11.28,7.78,10.86,9.51,13.72,9.69,8.28,7.21,8.23,10.44,11.66,10.68,9.13,9.52,9.8,11.76,9.7,0.0,0.29,2026,6,14,2026-06-14,0.0,0.0,0.30142857142857143,0.0,9.751999999999999
166,2026-06-15,9.5,7.49,8.81,11.33,7.86,10.48,9.51,13.67,9.69,8.29,7.21,8.33,10.57,11.66,10.68,9.14,9.67,9.8,11.68,9.63,0.0,0.31,2026,6,15,2026-06-15,0.0,0.0,0.3142857142857142,0.020000000000000018,9.75
167,2026-06-16,9.5,7.49,8.81,11.38,7.73,10.36,9.51,13.6,9.69,8.29,7.21,8.06,12.9,11.64,10.68,9.74,9.58,9.8,11.6,9.61,0.0,0.24,2026,6,16,2026-06-16,0.0,0.0,0.3028571428571429,-0.07,9.859
168,2026-06-17,9.5,7.49,8.81,11.42,7.72,10.29,9.51,13.51,9.69,8.3,7.21,7.89,12.72,11.63,10.69,10.15,9.38,9.8,11.57,9.57,0.0,0.21,2026,6,17,2026-06-17,0.0,0.0,0.2885714285714286,-0.03,9.8425
169,2026-06-18,9.5,7.49,8.8,11.48,7.62,10.64,9.51,13.08,9.69,8.3,7.21,8.0,12.32,11.67,10.71,9.82,9.04,9.8,11.57,9.63,0.0,0.36,2026,6,18,2026-06-18,0.0,0.0,0.2942857142857143,0.15,9.794
170,2026-06-19,9.5,7.49,8.81,11.51,7.41,10.83,9.51,12.77,9.69,7.92,7.21,8.11,11.21,11.67,10.7,9.78,9.16,9.8,11.49,9.65,0.0,0.26,2026,6,19,2026-06-19,0.0,0.0,0.27999999999999997,-0.09999999999999998,9.711000000000002
171,2026-06-20,9.5,7.49,8.81,11.43,7.31,10.68,9.51,12.62,9.69,8.32,7.21,8.09,12.32,11.66,10.68,10.15,9.23,9.8,11.49,9.66,0.0,0.24,2026,6,20,2026-06-20,0.0,0.0,0.27285714285714285,-0.020000000000000018,9.782499999999999
172,2026-06-21,9.5,7.49,8.8,11.53,7.28,10.49,9.51,11.62,9.69,8.31,7.21,8.09,13.09,11.65,10.73,10.15,9.01,9.8,11.51,9.66,0.0,0.3,2026,6,21,2026-06-21,0.0,0.0,0.2742857142857143,0.06,9.755999999999998
173,2026-06-22,9.5,7.49,8.82,11.52,7.12,10.74,9.51,11.32,9.69,8.3,7.21,8.13,12.6,11.68,10.68,10.15,8.74,9.8,12.26,9.72,0.0,0.28,2026,6,22,2026-06-22,0.0,0.0,0.26999999999999996,-0.019999999999999962,9.748999999999999
174,2026-06-23,9.5,7.49,8.81,11.56,6.97,10.83,9.51,11.22,9.69,8.3,7.21,7.86,13.39,11.68,10.69,10.15,8.74,9.8,12.54,9.8,0.0,0.37,2026,6,23,2026-06-23,0.0,0.0,0.2885714285714286,0.08999999999999997,9.787
175,2026-06-24,9.5,7.5,8.82,11.57,6.82,10.76,9.51,11.19,9.69,8.3,7.21,7.92,13.29,11.69,10.68,10.15,8.74,9.8,12.5,9.8,0.0,0.27,2026,6,24,2026-06-24,0.0,0.0,0.29714285714285715,-0.09999999999999998,9.772000000000002
176,2026-06-25,9.5,7.5,8.84,11.72,6.73,11.2,9.51,11.11,9.69,8.3,7.21,7.84,12.9,11.68,10.67,10.15,8.74,9.8,12.49,9.8,0.0,0.33,2026,6,25,2026-06-25,0.0,0.0,0.29285714285714287,0.06,9.769000000000002
177,2026-06-26,9.5,7.51,8.83,11.8,6.86,11.38,9.51,11.14,9.69,8.28,7.21,7.71,12.85,11.67,10.67,10.15,8.74,9.8,12.54,9.8,0.0,0.24,2026,6,26,2026-06-26,0.0,0.0,0.29,-0.09000000000000002,9.782
178,2026-06-27,9.5,7.47,8.83,11.68,6.8,11.16,9.51,11.19,9.69,8.3,7.21,7.86,12.99,11.68,10.68,10.15,8.74,9.8,12.49,9.8,0.0,0.34,2026,6,27,2026-06-27,0.0,0.0,0.3042857142857143,0.10000000000000003,9.776500000000002
179,2026-06-28,9.5,7.5,8.81,11.58,6.69,11.08,9.51,11.09,9.69,8.29,7.21,7.67,13.01,11.7,10.71,10.15,8.74,9.8,12.51,9.8,0.0,0.24,2026,6,28,2026-06-28,0.0,0.0,0.29571428571428576,-0.10000000000000003,9.752
180,2026-06-29,9.5,7.51,8.81,11.51,6.57,11.02,9.51,11.1,9.69,8.3,7.21,8.07,13.22,11.68,10.7,10.15,8.74,9.8,12.53,9.8,0.0,0.44,2026,6,29,2026-06-29,0.0,0.0,0.31857142857142856,0.2,9.771
181,2026-06-30,9.5,7.52,8.81,11.5,6.54,10.55,9.51,11.1,9.69,8.3,7.21,8.27,13.28,11.68,10.7,10.15,8.74,9.8,12.5,9.8,0.0,0.47,2026,6,30,2026-06-30,0.0,0.0,0.33285714285714285,0.02999999999999997,9.757500000000002
