Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Average_pH,Max_pH,Min_pH,pH_Range,pH_Change,Primary_VOC,VOC_Change,VOC_Rolling_7,VOC_STD_7,pH_Rolling_7,VOC_Rate,Stability_Index,Day_Name,Month_Name,pH_Status,VOC_Status
65,2026-03-06,9.5,7.31,8.81,10.71,7.05,10.59,9.5,8.82,13.56,13.96,7.21,11.22,12.62,11.41,11.01,0.91,0.17,9.8,10.83,,0.0,0.25,2026,3,6,2026-03-06,9.21,13.96,0.17,13.790000000000001,-0.20842105263157862,0.25,0.03,0.24000000000000002,0.0369684550213647,9.925037593984964,13.636363636363647,97.91578947368421,Friday,March,Low,Low
66,2026-03-07,9.5,7.3,8.81,10.72,7.06,10.78,9.5,10.98,13.54,13.96,7.21,11.45,12.52,11.41,10.97,6.89,8.89,9.8,10.83,,0.0,0.2,2026,3,7,2026-03-07,10.111578947368423,13.96,6.89,7.070000000000001,0.9015789473684226,0.2,-0.04999999999999999,0.23571428571428574,0.039940431835898974,9.889323308270678,-19.999999999999996,90.98421052631578,Saturday,March,Normal,Low
67,2026-03-08,9.5,7.25,8.81,10.86,7.06,10.94,9.5,13.05,13.52,13.96,7.21,11.37,12.49,11.42,10.96,6.89,9.01,9.8,10.83,,0.0,0.22,2026,3,8,2026-03-08,10.233157894736843,13.96,6.89,7.070000000000001,0.12157894736841968,0.22,0.01999999999999999,0.23285714285714287,0.04029651999626668,9.893007518796994,9.999999999999986,98.7842105263158,Sunday,March,Normal,Low
68,2026-03-09,9.5,7.24,8.81,10.81,7.07,10.98,9.5,10.71,13.5,12.1,7.21,11.39,12.47,11.42,10.94,6.89,9.01,9.8,10.83,,0.0,0.2,2026,3,9,2026-03-09,10.009473684210526,13.5,6.89,6.61,-0.22368421052631682,0.2,-0.01999999999999999,0.21857142857142858,0.028535691936340167,9.848947368421053,-9.090909090909083,97.76315789473684,Monday,March,Normal,Low
69,2026-03-10,9.5,7.27,8.81,10.77,7.06,10.92,9.5,11.08,13.47,8.25,7.21,11.11,12.58,11.42,10.93,6.89,8.99,9.8,10.4,,0.0,0.19,2026,3,10,2026-03-10,9.787368421052632,13.47,6.89,6.580000000000001,-0.22210526315789458,0.19,-0.010000000000000009,0.20857142857142857,0.023401261667248645,9.839172932330827,-5.000000000000004,97.77894736842106,Tuesday,March,Normal,Low
70,2026-03-11,9.5,7.31,8.81,10.87,7.06,10.71,9.51,12.04,13.49,8.25,7.21,11.45,12.57,11.42,10.92,6.89,9.06,9.8,10.83,,0.0,0.24,2026,3,11,2026-03-11,9.878947368421054,13.49,6.89,6.6000000000000005,0.09157894736842209,0.24,0.04999999999999999,0.21714285714285714,0.02214669705568271,9.80699248120301,26.315789473684205,99.08421052631579,Wednesday,March,Normal,Low
71,2026-03-12,9.5,7.34,8.81,10.85,7.06,10.62,9.51,12.74,13.57,8.25,7.21,11.23,12.09,11.42,10.9,6.89,9.04,9.8,10.83,,0.0,0.25,2026,3,12,2026-03-12,9.876842105263158,13.57,6.89,6.680000000000001,-0.0021052631578957204,0.25,0.010000000000000009,0.22142857142857147,0.025448360411213986,9.87248120300752,4.166666666666674,99.97894736842105,Thursday,March,Normal,Low
72,2026-03-13,9.5,7.33,8.82,10.74,7.06,10.76,9.51,12.59,13.53,8.24,7.21,11.52,11.04,11.42,11.0,6.89,8.91,9.8,10.83,,0.0,0.22,2026,3,13,2026-03-13,9.826315789473686,13.53,6.89,6.64,-0.05052631578947242,0.22,-0.03,0.21714285714285717,0.02214669705568271,9.960526315789476,-12.0,99.49473684210528,Friday,March,Normal,Low
73,2026-03-14,9.5,7.32,8.81,10.66,7.06,10.81,9.51,9.67,13.46,8.25,7.21,11.27,10.47,11.43,10.91,6.89,8.94,9.8,10.84,,0.0,0.13,2026,3,14,2026-03-14,9.621578947368423,13.46,6.89,6.570000000000001,-0.20473684210526244,0.13,-0.09,0.20714285714285713,0.03988077469754296,9.890526315789474,-40.90909090909091,97.95263157894738,Saturday,March,Normal,Low
74,2026-03-15,9.5,7.32,8.81,10.52,7.07,10.8,9.51,6.43,13.4,8.24,7.2,11.54,10.23,11.44,10.9,6.89,8.84,9.8,10.83,,0.0,0.15,2026,3,15,2026-03-15,9.435263157894738,13.4,6.43,6.970000000000001,-0.1863157894736851,0.15,0.01999999999999999,0.19714285714285712,0.04461475305855878,9.77654135338346,15.384615384615374,98.13684210526316,Sunday,March,Low,Low
75,2026-03-16,9.5,7.34,8.81,10.65,7.05,10.86,9.51,13.34,13.48,8.24,7.21,11.26,10.94,11.43,10.97,6.88,9.05,9.8,10.84,,0.0,0.14,2026,3,16,2026-03-16,9.850526315789477,13.48,6.88,6.6000000000000005,0.41526315789473855,0.14,-0.009999999999999981,0.18857142857142858,0.04947341758580091,9.753834586466168,-6.666666666666654,95.84736842105261,Monday,March,Normal,Low
76,2026-03-17,9.5,7.35,8.81,10.67,7.09,10.83,9.51,13.25,13.49,8.24,7.21,11.17,12.93,11.44,11.29,6.88,8.99,9.8,10.83,,0.0,0.19,2026,3,17,2026-03-17,9.962105263157897,13.49,6.88,6.61,0.11157894736841989,0.19,0.04999999999999999,0.18857142857142858,0.04947341758580091,9.778796992481205,35.7142857142857,98.8842105263158,Tuesday,March,Normal,Low
77,2026-03-18,9.5,7.36,8.81,10.68,7.04,10.81,9.51,13.04,13.44,8.24,7.21,11.38,12.75,11.43,11.13,6.88,9.0,9.8,10.84,,0.0,0.12,2026,3,18,2026-03-18,9.939473684210528,13.44,6.88,6.56,-0.02263157894736878,0.12,-0.07,0.17142857142857146,0.04947341758580088,9.787443609022558,-36.8421052631579,99.77368421052631,Wednesday,March,Normal,Low
78,2026-03-19,9.5,7.36,8.81,10.73,6.99,10.79,9.51,10.28,13.41,8.24,7.21,11.0,12.73,11.43,10.97,1.73,2.87,9.8,10.81,,0.0,0.19,2026,3,19,2026-03-19,9.166842105263159,13.41,1.73,11.68,-0.7726315789473688,0.19,0.07,0.16285714285714287,0.03728908942943193,9.686015037593986,58.33333333333335,92.27368421052631,Thursday,March,Low,Low
79,2026-03-20,9.5,7.35,8.81,10.53,6.97,10.8,9.51,13.16,13.38,8.24,7.21,11.29,12.81,11.45,10.88,1.73,2.87,9.8,10.81,,0.0,0.21,2026,3,20,2026-03-20,9.321052631578949,13.38,1.73,11.65,0.15421052631579002,0.21,0.01999999999999999,0.16142857142857145,0.034846602621858215,9.613834586466167,10.526315789473673,98.45789473684209,Friday,March,Low,Low
80,2026-03-21,9.5,7.35,8.81,10.06,6.99,10.79,9.51,13.1,12.35,8.24,7.21,11.35,12.86,11.46,10.96,1.73,2.87,9.8,10.82,,0.0,0.25,2026,3,21,2026-03-21,9.250526315789475,13.1,1.73,11.37,-0.07052631578947377,0.25,0.04000000000000001,0.17857142857142858,0.04488079449258559,9.560827067669177,19.047619047619047,99.29473684210527,Saturday,March,Low,Low
81,2026-03-22,9.5,7.32,8.81,10.41,6.97,10.78,9.51,12.99,9.69,8.24,7.21,11.49,12.4,11.44,10.86,8.43,8.34,9.8,10.83,,0.0,0.3,2026,3,22,2026-03-22,9.737894736842108,12.99,6.97,6.0200000000000005,0.4873684210526328,0.3,0.04999999999999999,0.19999999999999998,0.06164414002968971,9.604060150375943,19.999999999999996,95.12631578947367,Sunday,March,Normal,Low
82,2026-03-23,9.5,7.37,8.81,10.68,6.92,10.78,9.51,9.7,9.69,8.24,7.21,11.34,11.97,11.44,10.83,8.43,8.34,9.8,10.83,,0.0,0.28,2026,3,23,2026-03-23,9.54684210526316,11.97,6.92,5.050000000000001,-0.19105263157894825,0.28,-0.019999999999999962,0.22,0.06164414002968976,9.560676691729325,-6.666666666666654,98.08947368421052,Monday,March,Normal,Low
83,2026-03-24,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.24,2026,3,24,2026-03-24,9.26157894736842,12.69,3.37,9.32,-0.28526315789473955,0.24,-0.040000000000000036,0.22714285714285712,0.06047431568147637,9.460601503759401,-14.285714285714302,97.1473684210526,Tuesday,March,Low,Low
84,2026-03-25,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.21,2026,3,25,2026-03-25,9.26157894736842,12.69,3.37,9.32,0.0,0.21,-0.03,0.24000000000000002,0.04000000000000006,9.363759398496242,-12.5,100.0,Wednesday,March,Low,Low
85,2026-03-26,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.31,2026,3,26,2026-03-26,9.26157894736842,12.69,3.37,9.32,0.0,0.31,0.1,0.2571428571428572,0.040708019567928695,9.377293233082709,47.61904761904763,100.0,Thursday,March,Low,Low
86,2026-03-27,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.27,2026,3,27,2026-03-27,9.26157894736842,12.69,3.37,9.32,0.0,0.27,-0.03999999999999998,0.2657142857142857,0.03505098327538671,9.368796992481204,-12.903225806451601,100.0,Friday,March,Low,Low
87,2026-03-28,9.5,7.34,8.82,10.76,6.73,10.96,9.51,13.35,9.69,8.25,7.21,11.37,10.81,11.41,10.7,8.43,8.34,9.8,10.84,,0.0,0.2,2026,3,28,2026-03-28,9.674736842105265,13.35,6.73,6.619999999999999,0.4131578947368446,0.2,-0.07,0.25857142857142856,0.04298393941484488,9.429398496240603,-25.92592592592593,95.86842105263156,Saturday,March,Normal,Low
88,2026-03-29,9.5,7.33,8.82,10.79,6.83,10.95,9.51,13.3,9.69,8.26,7.21,11.37,12.0,11.42,10.72,8.64,8.82,9.8,10.84,,0.0,0.25,2026,3,29,2026-03-29,9.778947368421052,13.3,6.83,6.470000000000001,0.10421052631578753,0.25,0.04999999999999999,0.25142857142857145,0.03891382420536075,9.435263157894736,25.0,98.95789473684212,Sunday,March,Normal,Low
89,2026-03-30,9.5,7.33,8.82,10.75,8.52,11.15,9.51,13.28,9.69,8.25,7.21,11.4,12.47,11.43,10.69,8.95,9.76,9.8,10.84,,0.0,0.24,2026,3,30,2026-03-30,9.965789473684211,13.28,7.21,6.069999999999999,0.1868421052631586,0.24,-0.010000000000000009,0.24571428571428572,0.03690399384761446,9.495112781954887,-4.0000000000000036,98.13157894736841,Monday,March,Normal,Low
90,2026-03-31,9.5,7.21,8.82,10.8,8.63,11.3,9.51,13.25,9.69,8.25,7.21,11.48,12.68,11.43,10.67,9.69,9.71,9.8,10.84,,0.0,0.28,2026,3,31,2026-03-31,10.024736842105265,13.25,7.21,6.04,0.058947368421053525,0.28,0.040000000000000036,0.25142857142857145,0.03891382420536074,9.604135338345865,16.666666666666675,99.41052631578947,Tuesday,March,Normal,Low
91,2026-04-01,9.5,7.01,8.81,10.62,8.41,11.54,9.51,13.2,9.69,7.7,7.21,11.47,12.71,11.43,10.67,10.21,9.73,9.8,10.84,,0.0,0.3,2026,4,1,2026-04-01,10.003157894736843,13.2,7.01,6.1899999999999995,-0.021578947368421808,0.3,0.019999999999999962,0.2642857142857143,0.037796447300922804,9.710075187969924,7.14285714285714,99.78421052631577,Wednesday,April,Normal,Low
92,2026-04-02,9.5,7.25,8.81,10.64,8.36,12.25,9.51,13.2,9.69,7.73,7.21,11.46,12.88,11.43,10.65,10.22,9.69,9.8,10.85,,0.0,0.32,2026,4,2,2026-04-02,10.059473684210527,13.2,7.21,5.989999999999999,0.05631578947368432,0.32,0.020000000000000018,0.2657142857142857,0.03994043183589909,9.82406015037594,6.666666666666665,99.43684210526315,Thursday,April,Normal,Low
93,2026-04-03,9.5,7.3,8.81,10.7,8.24,12.34,9.51,13.2,9.69,8.29,7.21,11.16,12.87,11.43,10.64,10.22,9.69,9.8,10.85,,0.0,0.26,2026,4,3,2026-04-03,10.076315789473684,13.2,7.21,5.989999999999999,0.01684210526315688,0.26,-0.06,0.2642857142857143,0.03994043183589909,9.940451127819548,-18.75,99.83157894736843,Friday,April,Normal,Low
94,2026-04-04,9.5,7.32,8.81,10.76,8.12,12.31,9.51,13.2,9.69,8.28,7.21,11.19,12.92,11.44,10.64,10.21,9.71,9.8,10.85,,0.0,0.27,2026,4,4,2026-04-04,10.07736842105263,13.2,7.21,5.989999999999999,0.001052631578946972,0.27,0.010000000000000009,0.2742857142857143,0.02819996622760572,9.99796992481203,3.8461538461538547,99.98947368421054,Saturday,April,Normal,Low
95,2026-04-05,9.5,7.31,8.81,10.75,8.25,12.8,9.51,13.2,9.69,8.27,7.21,11.23,12.94,11.44,10.63,9.3,9.72,9.8,10.85,,0.0,0.25,2026,4,5,2026-04-05,10.063684210526315,13.2,7.21,5.989999999999999,-0.013684210526315965,0.25,-0.020000000000000018,0.2742857142857143,0.02819996622760572,10.038646616541353,-7.407407407407418,99.86315789473684,Sunday,April,Normal,Low
96,2026-04-06,9.5,7.31,8.81,10.78,8.21,11.78,9.51,13.2,9.69,8.25,7.21,11.16,12.94,11.45,10.62,9.23,9.72,9.8,10.84,,0.0,0.34,2026,4,6,2026-04-06,10.000526315789473,13.2,7.21,5.989999999999999,-0.06315789473684141,0.34,0.09000000000000002,0.2885714285714286,0.03287784027201896,10.04360902255639,36.00000000000001,99.36842105263159,Monday,April,Normal,Low
97,2026-04-07,9.5,7.31,8.81,10.56,8.14,11.15,9.51,13.2,9.73,8.24,7.21,11.1,12.95,11.46,10.68,10.0,9.61,9.8,10.84,,0.0,0.34,2026,4,7,2026-04-07,9.989473684210529,13.2,7.21,5.989999999999999,-0.011052631578944982,0.34,0.0,0.29714285714285715,0.03773340063934786,10.038571428571428,0.0,99.88947368421054,Tuesday,April,Normal,Low
98,2026-04-08,9.5,7.32,8.81,10.55,8.1,10.01,9.51,13.2,9.69,8.25,7.21,11.06,12.96,11.48,10.6,10.64,9.58,9.8,10.85,,0.0,0.27,2026,4,8,2026-04-08,9.953684210526315,13.2,7.21,5.989999999999999,-0.035789473684213036,0.27,-0.07,0.29285714285714287,0.03903600291794149,10.031503759398495,-20.588235294117652,99.64210526315787,Wednesday,April,Normal,Low
99,2026-04-09,9.5,7.33,8.82,10.7,8.09,10.61,9.51,13.2,9.69,8.24,7.21,11.0,12.92,11.46,10.65,10.47,9.73,9.8,10.84,,0.0,0.28,2026,4,9,2026-04-09,9.987894736842106,13.2,7.21,5.989999999999999,0.0342105263157908,0.28,0.010000000000000009,0.2871428571428572,0.03728908942943233,10.021278195488723,3.703703703703698,99.6578947368421,Thursday,April,Normal,Low
100,2026-04-10,9.5,7.33,8.81,10.5,8.07,10.48,9.51,13.17,9.69,8.22,7.21,10.97,12.89,11.45,10.59,10.16,9.73,9.8,10.59,,0.0,0.33,2026,4,10,2026-04-10,9.93,13.17,7.21,5.96,-0.05789473684210655,0.33,0.04999999999999999,0.29714285714285715,0.03817254061682129,10.000375939849624,17.85714285714286,99.42105263157893,Friday,April,Normal,Low
101,2026-04-11,9.5,7.34,8.81,10.43,8.04,10.66,9.51,13.1,9.69,8.23,7.21,10.91,12.88,11.45,10.87,10.15,9.72,9.8,10.84,,0.0,0.34,2026,4,11,2026-04-11,9.954736842105264,13.1,7.21,5.89,0.0247368421052645,0.34,0.010000000000000009,0.3071428571428572,0.03903600291794155,9.982857142857144,3.0303030303030276,99.75263157894736,Saturday,April,Normal,Low
102,2026-04-12,9.5,7.35,8.81,10.66,8.04,10.83,9.51,13.1,9.69,8.23,7.21,10.91,12.88,11.46,10.8,10.14,9.71,9.8,10.85,,0.0,0.2,2026,4,12,2026-04-12,9.97263157894737,13.1,7.21,5.89,0.01789473684210563,0.2,-0.14,0.3,0.053229064742237854,9.96984962406015,-41.17647058823529,99.82105263157894,Sunday,April,Normal,Low
103,2026-04-13,9.5,7.35,8.82,10.83,7.96,11.11,9.51,13.1,9.69,8.22,7.21,10.74,12.87,11.45,10.56,10.12,9.73,9.8,10.84,,0.0,0.23,2026,4,13,2026-04-13,9.968947368421054,13.1,7.21,5.89,-0.0036842105263161784,0.23,0.03,0.2842857142857143,0.05563486402641876,9.965338345864662,14.999999999999991,99.96315789473684,Monday,April,Normal,Low
104,2026-04-14,9.5,7.35,8.82,10.72,7.97,11.01,9.51,13.2,9.69,8.14,7.21,10.51,12.88,11.46,10.55,10.11,9.73,9.8,10.85,,0.0,0.26,2026,4,14,2026-04-14,9.947894736842105,13.2,7.21,5.989999999999999,-0.021052631578948322,0.26,0.03,0.27285714285714285,0.0502375310282017,9.9593984962406,13.043478260869556,99.78947368421052,Tuesday,April,Normal,Low
105,2026-04-15,9.5,7.35,8.82,10.74,7.96,10.88,9.51,13.2,9.69,8.22,7.21,10.42,12.89,11.46,10.54,10.13,9.72,9.8,10.85,,0.0,0.26,2026,4,15,2026-04-15,9.94157894736842,13.2,7.21,5.989999999999999,-0.006315789473685385,0.26,0.0,0.2714285714285714,0.05047394424471949,9.95766917293233,0.0,99.93684210526314,Wednesday,April,Normal,Low
106,2026-04-16,9.5,7.35,8.82,10.57,8.05,10.96,9.51,13.2,9.69,8.22,7.21,10.38,12.87,11.47,10.61,10.12,9.72,9.8,10.85,,0.0,0.22,2026,4,16,2026-04-16,9.942105263157895,13.2,7.21,5.989999999999999,0.0005263157894752624,0.22,-0.04000000000000001,0.26285714285714284,0.05376314900074392,9.951127819548873,-15.384615384615385,99.99473684210525,Thursday,April,Normal,Low
107,2026-04-17,9.5,7.35,8.82,10.21,8.09,10.93,9.51,13.2,9.69,8.22,7.21,10.36,12.83,11.47,10.92,10.13,9.71,9.8,10.85,,0.0,0.25,2026,4,17,2026-04-17,9.936842105263159,13.2,7.21,5.989999999999999,-0.005263157894736636,0.25,0.03,0.25142857142857145,0.04488079449258572,9.952105263157895,13.636363636363647,99.94736842105263,Friday,April,Normal,Low
108,2026-04-18,9.5,7.35,8.82,10.77,8.09,10.82,9.51,13.14,9.69,8.21,7.21,10.35,12.79,11.47,10.87,10.16,9.71,9.8,10.85,,0.0,0.22,2026,4,18,2026-04-18,9.953157894736842,13.14,7.21,5.930000000000001,0.016315789473683395,0.22,-0.03,0.2342857142857143,0.022990681342044263,9.95187969924812,-12.0,99.83684210526317,Saturday,April,Normal,Low
109,2026-04-19,9.5,7.35,8.82,10.71,8.11,11.02,9.51,13.18,9.69,8.21,7.21,10.36,12.75,11.48,10.86,10.16,9.7,9.8,10.85,,0.0,0.28,2026,4,19,2026-04-19,9.96157894736842,13.18,7.21,5.97,0.008421052631577552,0.28,0.060000000000000026,0.24571428571428572,0.022990681342044333,9.950300751879698,27.272727272727295,99.91578947368423,Sunday,April,Normal,Low
110,2026-04-20,9.5,7.35,8.81,10.77,8.08,11.23,9.51,13.2,9.69,8.21,7.21,10.35,12.7,11.49,10.84,10.16,9.69,9.8,10.85,,0.0,0.27,2026,4,20,2026-04-20,9.970526315789476,13.2,7.21,5.989999999999999,0.008947368421056368,0.27,-0.010000000000000009,0.25142857142857145,0.023401261667248756,9.950526315789473,-3.57142857142857,99.91052631578944,Monday,April,Normal,Low
111,2026-04-21,9.5,7.35,8.82,10.63,8.08,11.12,9.51,13.2,9.69,8.19,7.21,10.35,12.65,11.49,10.82,9.97,9.69,9.8,10.85,,0.0,0.29,2026,4,21,2026-04-21,9.943157894736842,13.2,7.21,5.989999999999999,-0.027368421052633707,0.29,0.019999999999999962,0.2557142857142857,0.027602622373694152,9.949849624060151,7.407407407407396,99.72631578947366,Tuesday,April,Normal,Low
112,2026-04-22,9.5,7.36,8.82,10.57,7.93,11.02,9.51,13.2,9.69,8.21,7.21,10.33,12.56,11.49,10.81,10.06,9.68,9.8,10.83,,0.0,0.34,2026,4,22,2026-04-22,9.925263157894738,13.2,7.21,5.989999999999999,-0.017894736842103853,0.34,0.050000000000000044,0.2671428571428572,0.04231401884099633,9.947518796992481,17.24137931034484,99.82105263157897,Wednesday,April,Normal,Low
113,2026-04-23,9.5,7.36,8.81,10.5,7.81,10.99,9.51,13.2,9.69,8.19,7.21,10.31,12.46,11.5,10.8,10.03,9.69,9.8,10.85,,0.0,0.38,2026,4,23,2026-04-23,9.90578947368421,13.2,7.21,5.989999999999999,-0.019473684210527864,0.38,0.03999999999999998,0.29,0.05416025603090646,9.94233082706767,11.764705882352944,99.80526315789473,Thursday,April,Normal,Low
114,2026-04-24,9.5,7.36,8.81,10.56,7.05,10.94,9.51,13.25,9.69,8.21,7.21,10.27,12.28,11.5,10.79,9.95,9.68,9.8,10.74,,0.0,0.41,2026,4,24,2026-04-24,9.847368421052632,13.25,7.05,6.2,-0.05842105263157826,0.41,0.02999999999999997,0.31285714285714283,0.06676183683170249,9.929548872180451,7.8947368421052655,99.41578947368421,Friday,April,Normal,Low
115,2026-04-25,9.5,7.36,8.81,10.58,7.83,10.91,9.51,13.3,9.69,8.21,7.21,10.23,12.04,11.51,10.8,9.89,9.66,9.8,10.84,,0.0,0.6,2026,4,25,2026-04-25,9.877894736842105,13.3,7.21,6.090000000000001,0.030526315789472847,0.6,0.19,0.3671428571428571,0.11542880716619029,9.918796992481203,46.34146341463414,99.69473684210527,Saturday,April,Normal,Low
116,2026-04-26,9.5,7.38,8.81,10.37,7.83,10.9,9.51,13.2,9.69,8.21,7.2,10.22,11.71,11.52,10.8,9.89,9.63,9.8,10.87,,0.0,0.0,2026,4,26,2026-04-26,9.844210526315791,13.2,7.2,5.999999999999999,-0.03368421052631376,0.0,-0.6,0.3271428571428571,0.18071287407692585,9.902030075187971,-100.0,99.66315789473686,Sunday,April,Normal,Low
117,2026-04-27,9.5,7.38,8.82,10.65,7.93,11.26,9.51,13.2,9.69,8.21,7.22,10.27,11.47,11.52,10.78,10.11,9.7,9.8,10.86,,0.0,0.51,2026,4,27,2026-04-27,9.888421052631578,13.2,7.22,5.9799999999999995,0.044210526315787035,0.51,0.51,0.3614285714285715,0.19056307542198656,9.890300751879701,0.0,99.55789473684213,Monday,April,Normal,Low
118,2026-04-28,9.5,7.39,8.81,10.7,8.05,11.4,9.51,12.89,9.69,8.21,7.21,10.2,11.23,11.51,10.77,10.13,9.67,9.8,10.85,,0.0,0.34,2026,4,28,2026-04-28,9.869473684210528,12.89,7.21,5.680000000000001,-0.018947368421050825,0.34,-0.16999999999999998,0.3685714285714286,0.1883638828994359,9.879774436090226,-33.33333333333333,99.81052631578949,Tuesday,April,Normal,Low
119,2026-04-29,9.5,7.39,8.81,10.75,8.26,11.36,9.51,12.78,9.69,8.21,7.21,10.18,11.17,11.51,10.79,10.03,9.65,9.8,10.85,,0.0,0.41,2026,4,29,2026-04-29,9.865789473684211,12.78,7.21,5.569999999999999,-0.0036842105263161784,0.41,0.06999999999999995,0.37857142857142856,0.18845234335047611,9.871278195488722,20.58823529411764,99.96315789473684,Wednesday,April,Normal,Low
120,2026-04-30,9.5,7.4,8.81,10.74,8.35,11.37,9.51,12.16,9.69,8.21,7.21,10.17,11.11,11.51,10.77,9.99,9.68,9.8,10.85,,0.0,0.3,2026,4,30,2026-04-30,9.833157894736843,12.16,7.21,4.95,-0.03263157894736857,0.3,-0.10999999999999999,0.3671428571428571,0.1907628794877982,9.860902255639099,-26.82926829268293,99.67368421052632,Thursday,April,Normal,Low
121,2026-05-01,9.5,7.4,8.81,10.84,8.28,11.29,9.51,11.43,9.69,8.21,7.21,10.16,11.06,11.52,10.77,10.07,9.68,9.8,10.85,,0.0,0.35,2026,5,1,2026-05-01,9.793684210526317,11.52,7.21,4.31,-0.03947368421052566,0.35,0.04999999999999999,0.3585714285714286,0.1898621053491693,9.853233082706767,16.666666666666675,99.60526315789474,Friday,May,Normal,Low
122,2026-05-02,9.5,7.4,8.81,10.68,8.1,11.11,9.51,12.45,9.69,8.21,7.21,10.17,11.05,11.54,10.79,10.08,9.65,9.8,10.85,,0.0,0.36,2026,5,2,2026-05-02,9.821052631578949,12.45,7.21,5.239999999999999,0.02736842105263193,0.36,0.010000000000000009,0.3242857142857143,0.15799336936056768,9.845112781954887,2.857142857142869,99.72631578947369,Saturday,May,Normal,Low
123,2026-05-03,9.5,7.4,8.81,10.73,8.3,11.09,9.51,12.49,9.69,8.22,7.21,10.16,11.01,11.53,10.8,9.87,9.66,9.8,10.84,,0.0,0.27,2026,5,3,2026-05-03,9.822105263157894,12.49,7.21,5.28,0.0010526315789451957,0.27,-0.08999999999999997,0.3628571428571429,0.07867957924694441,9.841954887218046,-24.99999999999999,99.98947368421055,Sunday,May,Normal,Low
124,2026-05-04,9.5,7.41,8.82,10.69,8.24,11.15,9.51,11.38,9.69,8.17,7.21,10.15,11.0,11.53,10.78,10.14,9.67,9.8,10.84,,0.0,0.35,2026,5,4,2026-05-04,9.772631578947369,11.53,7.21,4.319999999999999,-0.04947368421052545,0.35,0.07999999999999996,0.33999999999999997,0.04472135954999587,9.825413533834588,29.629629629629605,99.50526315789475,Monday,May,Normal,Low
125,2026-05-05,9.5,7.41,8.82,10.64,8.03,11.21,9.51,7.43,9.69,8.22,7.21,10.12,10.98,11.55,10.77,10.14,9.67,9.8,10.84,,0.0,0.31,2026,5,5,2026-05-05,9.554736842105264,11.55,7.21,4.340000000000001,-0.21789473684210492,0.31,-0.03999999999999998,0.33571428571428574,0.046136443605586185,9.78045112781955,-11.428571428571422,97.82105263157895,Tuesday,May,Normal,Low
126,2026-05-06,9.5,7.41,8.81,10.57,8.04,11.28,9.51,6.75,9.69,8.22,7.21,10.1,10.96,11.59,10.76,10.13,9.69,9.8,10.84,,0.0,0.4,2026,5,6,2026-05-06,9.518947368421053,11.59,6.75,4.84,-0.03578947368421126,0.4,0.09000000000000002,0.33428571428571424,0.043534332373864434,9.730902255639098,29.03225806451615,99.64210526315789,Wednesday,May,Normal,Low
127,2026-05-07,9.5,7.41,8.81,10.61,7.88,11.43,9.51,10.45,9.69,8.23,7.21,10.11,10.95,11.63,10.76,10.14,9.68,9.8,10.83,,0.0,0.47,2026,5,7,2026-05-07,9.717368421052633,11.63,7.21,4.420000000000001,0.1984210526315806,0.47,0.06999999999999995,0.35857142857142854,0.06388233230676846,9.714360902255638,17.499999999999982,98.0157894736842,Thursday,May,Normal,Low
128,2026-05-08,9.5,7.41,8.81,10.63,7.62,11.7,9.51,10.38,9.69,8.23,7.21,10.14,10.93,11.65,10.75,10.09,9.68,9.8,10.84,,0.0,0.33,2026,5,8,2026-05-08,9.71421052631579,11.7,7.21,4.489999999999999,-0.0031578947368426924,0.33,-0.13999999999999996,0.3557142857142857,0.06477065767180464,9.703007518796992,-29.78723404255318,99.96842105263157,Friday,May,Normal,Low
