Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day
136,16-05-2026,9.5,7.42,8.81,10.5,7.86,11.08,9.51,11.7,9.69,8.26,7.21,10.07,10.9,11.67,10.74,9.7,9.68,9.8,10.76,,0,0.29,2026,5,16
137,17-05-2026,9.5,7.43,8.81,10.11,7.81,11.2,9.51,12.95,9.69,8.26,7.21,10.07,10.89,11.67,10.74,9.53,9.68,9.8,11.55,,0,0.28,2026,5,17
138,18-05-2026,9.5,7.43,8.81,9.96,7.68,10.74,9.51,12.59,9.69,8.27,7.21,10.08,10.83,11.66,10.73,9.69,9.69,9.8,12.79,,0,0.29,2026,5,18
139,19-05-2026,9.5,7.43,8.81,11.71,7.86,10.11,9.51,11.79,9.69,8.27,7.21,10.05,10.9,11.66,10.73,9.49,9.68,9.8,12.59,,0,0.27,2026,5,19
140,20-05-2026,9.5,7.43,8.81,12.6,8.04,10.15,9.51,11.7,9.69,8.27,7.21,10,10.9,11.66,10.73,9.66,9.68,9.8,12.45,,0,0.31,2026,5,20
141,21-05-2026,9.5,7.43,8.81,11.77,7.86,11.3,9.51,11.7,9.69,8.27,7.48,9.8,10.82,11.66,10.75,9.41,9.68,9.8,12.34,,0,0.34,2026,5,21
142,22-05-2026,9.5,7.44,8.81,11.35,7.66,11.59,9.51,11.7,9.69,8.27,7.21,9.38,10.89,11.66,10.9,9.07,9.63,9.8,12.18,,0,0.25,2026,5,22
143,23-05-2026,9.5,7.44,8.81,11.13,7.63,10.41,9.51,11.7,9.69,8.28,7.21,9.53,10.9,11.68,10.99,9.68,9.43,9.8,12.16,,0,0.19,2026,5,23
144,24-05-2026,9.5,7.44,8.81,11,7.54,8.09,9.51,11.68,9.69,8.28,7.21,9.45,10.89,11.68,10.88,10.13,9.43,9.8,12.08,,0,0.35,2026,5,24
145,25-05-2026,9.5,7.44,8.81,10.94,7.37,9.06,9.51,11.64,9.69,8.28,7.21,9.37,11,11.68,10.85,10.13,9.47,9.8,12.04,,0,0.36,2026,5,25
146,26-05-2026,9.5,7.44,8.82,10.86,7.21,8.49,9.51,11.62,9.69,8.28,7.21,9.27,11.1,11.67,10.87,10.12,9.53,9.8,11.99,9.65,0,0.3,2026,5,26
147,27-05-2026,9.5,7.45,8.82,10.84,7.25,7.33,9.51,11.64,9.69,8.28,7.21,9.68,11.09,11.68,10.76,9.69,9.37,9.8,11.98,9.65,0,0.41,2026,5,27
148,28-05-2026,9.5,7.45,8.81,10.83,7.57,8.53,9.51,11.67,9.69,8.29,7.21,9.44,11.04,11.68,10.79,9.09,9.25,9.8,11.9,8.8,0,2.01,2026,5,28
149,29-05-2026,9.5,7.45,8.81,10.82,7.51,11,9.51,11.61,9.69,8.28,7.21,9.24,11.01,11.68,10.72,9.6,9.4,9.8,11.83,3.06,0,0.31,2026,5,29
150,30-05-2026,9.5,7.46,8.82,10.84,7.53,11.35,9.51,11.07,9.69,8.27,7.21,8.61,11.01,11.67,10.71,9.72,9.54,9.8,11.7,1.36,0,0.3,2026,5,30
151,31-05-2026,9.5,7.46,8.82,10.85,7.44,10.8,9.51,10.17,9.69,8.28,7.21,8.27,12.03,11.67,10.71,9.22,9.57,9.8,11.7,4.57,0,0.29,2026,5,31
152,01-06-2026,9.5,7.46,8.81,10.89,7.4,10.51,9.51,10.54,9.69,8.28,7.21,8.33,13.02,11.67,10.71,9.05,9.48,9.8,11.58,8.11,0,0.29,2026,6,1
153,02-06-2026,9.5,7.47,8.81,10.89,7.45,10.87,9.51,10.68,9.69,8.27,7.21,8.23,13.14,11.68,10.73,9.54,9.46,9.8,11.66,7.15,0,0.3,2026,6,2
154,03-06-2026,9.5,7.47,8.81,10.9,7.34,10.73,9.51,10.55,9.69,8.25,7.21,8.19,12.94,11.68,10.72,10.11,9.54,9.8,11.66,9.74,0,0.27,2026,6,3
155,04-06-2026,9.5,7.47,8.81,10.91,7.36,10.56,9.51,10.3,9.69,8.26,7.21,7.69,12.79,11.68,10.71,10.13,9.54,9.8,11.63,9.66,0,0.24,2026,6,4
156,05-06-2026,9.5,7.47,8.81,10.96,7.47,10.38,9.51,10.35,9.69,8.26,7.21,7.77,12.49,11.67,10.69,10.13,9.66,9.8,11.61,9.61,0,0.24,2026,6,5
157,06-06-2026,9.5,7.47,8.81,11,7.24,10.31,9.51,10.48,9.69,8.26,7.21,7.83,12.08,11.67,10.69,10.13,9.65,9.8,12.13,9.64,0,0.24,2026,6,6
158,07-06-2026,9.5,7.47,8.81,11.03,7.22,10.34,9.51,10.68,9.69,8.26,7.21,8.12,12.27,11.67,10.69,10.12,9.66,9.8,12.49,9.62,0,0.24,2026,6,7
159,08-06-2026,9.5,7.47,8.81,11.09,7.48,10.39,9.51,10.37,9.69,8.25,7.21,8.1,13.02,11.66,10.67,9.32,9.63,9.8,12.49,9.63,0,0.22,2026,6,8
160,09-06-2026,9.5,7.48,8.81,11.12,7.59,10.46,9.51,11.9,9.69,8.25,7.21,8.12,12.94,11.66,10.68,9.67,9.67,9.8,12.43,9.64,0,0.32,2026,6,9
161,10-06-2026,9.5,7.48,8.81,11.13,7.95,10.64,9.51,13.89,9.69,8.23,7.21,7.77,12.91,11.66,10.69,9.51,9.57,9.8,12.23,9.64,0,0.31,2026,6,10
162,11-06-2026,9.5,7.48,8.81,11.15,8,10.71,9.51,13.89,9.69,8.27,7.21,7.86,12.95,11.67,10.69,9.58,9.55,9.8,12.06,9.65,0,0.32,2026,6,11
163,12-06-2026,9.5,7.48,8.81,11.19,7.75,10.94,9.51,13.76,9.69,8.28,7.21,8.02,12.87,11.66,10.69,9.44,9.42,9.8,12.04,9.63,0,0.36,2026,6,12
164,13-06-2026,9.5,7.48,8.81,11.24,7.54,11.14,9.51,13.72,9.69,8.29,7.21,7.81,11.48,11.66,10.69,9.34,9.5,9.8,11.94,9.64,0,0.29,2026,6,13
165,14-06-2026,9.5,7.48,8.81,11.28,7.78,10.86,9.51,13.72,9.69,8.28,7.21,8.23,10.44,11.66,10.68,9.13,9.52,9.8,11.76,9.7,0,0.29,2026,6,14
166,15-06-2026,9.5,7.49,8.81,11.33,7.86,10.48,9.51,13.67,9.69,8.29,7.21,8.33,10.57,11.66,10.68,9.14,9.67,9.8,11.68,9.63,0,0.31,2026,6,15
167,16-06-2026,9.5,7.49,8.81,11.38,7.73,10.36,9.51,13.6,9.69,8.29,7.21,8.06,12.9,11.64,10.68,9.74,9.58,9.8,11.6,9.61,0,0.24,2026,6,16
168,17-06-2026,9.5,7.49,8.81,11.42,7.72,10.29,9.51,13.51,9.69,8.3,7.21,7.89,12.72,11.63,10.69,10.15,9.38,9.8,11.57,9.57,0,0.21,2026,6,17
169,18-06-2026,9.5,7.49,8.8,11.48,7.62,10.64,9.51,13.08,9.69,8.3,7.21,8,12.32,11.67,10.71,9.82,9.04,9.8,11.57,9.63,0,0.36,2026,6,18
170,19-06-2026,9.5,7.49,8.81,11.51,7.41,10.83,9.51,12.77,9.69,7.92,7.21,8.11,11.21,11.67,10.7,9.78,9.16,9.8,11.49,9.65,0,0.26,2026,6,19
171,20-06-2026,9.5,7.49,8.81,11.43,7.31,10.68,9.51,12.62,9.69,8.32,7.21,8.09,12.32,11.66,10.68,10.15,9.23,9.8,11.49,9.66,0,0.24,2026,6,20
172,21-06-2026,9.5,7.49,8.8,11.53,7.28,10.49,9.51,11.62,9.69,8.31,7.21,8.09,13.09,11.65,10.73,10.15,9.01,9.8,11.51,9.66,0,0.3,2026,6,21
173,22-06-2026,9.5,7.49,8.82,11.52,7.12,10.74,9.51,11.32,9.69,8.3,7.21,8.13,12.6,11.68,10.68,10.15,8.74,9.8,12.26,9.72,0,0.28,2026,6,22
174,23-06-2026,9.5,7.49,8.81,11.56,6.97,10.83,9.51,11.22,9.69,8.3,7.21,7.86,13.39,11.68,10.69,10.15,8.74,9.8,12.54,9.8,0,0.37,2026,6,23
175,24-06-2026,9.5,7.5,8.82,11.57,6.82,10.76,9.51,11.19,9.69,8.3,7.21,7.92,13.29,11.69,10.68,10.15,8.74,9.8,12.5,9.8,0,0.27,2026,6,24
176,25-06-2026,9.5,7.5,8.84,11.72,6.73,11.2,9.51,11.11,9.69,8.3,7.21,7.84,12.9,11.68,10.67,10.15,8.74,9.8,12.49,9.8,0,0.33,2026,6,25
177,26-06-2026,9.5,7.51,8.83,11.8,6.86,11.38,9.51,11.14,9.69,8.28,7.21,7.71,12.85,11.67,10.67,10.15,8.74,9.8,12.54,9.8,0,0.24,2026,6,26
178,27-06-2026,9.5,7.47,8.83,11.68,6.8,11.16,9.51,11.19,9.69,8.3,7.21,7.86,12.99,11.68,10.68,10.15,8.74,9.8,12.49,9.8,0,0.34,2026,6,27
179,28-06-2026,9.5,7.5,8.81,11.58,6.69,11.08,9.51,11.09,9.69,8.29,7.21,7.67,13.01,11.7,10.71,10.15,8.74,9.8,12.51,9.8,0,0.24,2026,6,28
180,29-06-2026,9.5,7.51,8.81,11.51,6.57,11.02,9.51,11.1,9.69,8.3,7.21,8.07,13.22,11.68,10.7,10.15,8.74,9.8,12.53,9.8,0,0.44,2026,6,29
181,30-06-2026,9.5,7.52,8.81,11.5,6.54,10.55,9.51,11.1,9.69,8.3,7.21,8.27,13.28,11.68,10.7,10.15,8.74,9.8,12.5,9.8,0,0.47,2026,6,30
